Latitude,Longitude,Cluster_ID,Trajet_Index,Vitesse_kmh,Charge_Norm,Description
-20.95854,-68.707151667,Cluster 1 (BLEU),62,0.2,2570.53,Trajet 62 | État: Vide. Identifié par IA.
-20.973141667,-68.702246667,Cluster 1 (BLEU),62,6.3,2606.17,Trajet 62 | État: Vide. Identifié par IA.
-20.973243333,-68.702191667,Cluster 2 (VERT),63,10.9,2606.3,Trajet 63 | État: Chargé. Identifié par IA.
-20.970385,-68.697605,Cluster 2 (VERT),63,21.1,2611.11,Trajet 63 | État: Chargé. Identifié par IA.
-20.959781667,-68.708355,Cluster 2 (VERT),63,0.2,2582.47,Trajet 63 | État: Chargé. Identifié par IA.
-20.959821667,-68.708368333,Cluster 3 (ORANGE),64,6.7,2580.77,Trajet 64 | État: Vide. Identifié par IA.
-20.97629,-68.70533,Cluster 3 (ORANGE),64,36.9,2576.41,Trajet 64 | État: Vide. Identifié par IA.
-20.97312,-68.702306667,Cluster 3 (ORANGE),64,4.4,2603.96,Trajet 64 | État: Vide. Identifié par IA.
-20.973906667,-68.701958333,Cluster 2 (VERT),65,8.5,2605.46,Trajet 65 | État: Chargé. Identifié par IA.
-20.97625,-68.700726667,Cluster 2 (VERT),65,11.7,2604.53,Trajet 65 | État: Chargé. Identifié par IA.
-20.959395,-68.708496667,Cluster 2 (VERT),65,5.0,2579.34,Trajet 65 | État: Chargé. Identifié par IA.
-20.95935,-68.708558333,Cluster 2 (VERT),66,7.6,2578.73,Trajet 66 | État: Vide. Identifié par IA.
-20.975301667,-68.703263333,Cluster 2 (VERT),66,27.2,2582.71,Trajet 66 | État: Vide. Identifié par IA.
-20.973156667,-68.70228,Cluster 2 (VERT),66,3.5,2614.26,Trajet 66 | État: Vide. Identifié par IA.
-20.973221667,-68.702228333,Cluster 0 (ROUGE),67,7.0,2613.98,Trajet 67 | État: Chargé. Identifié par IA.
-20.971043333,-68.695671667,Cluster 0 (ROUGE),67,11.9,2614.89,Trajet 67 | État: Chargé. Identifié par IA.
-20.959338333,-68.708508333,Cluster 0 (ROUGE),67,9.4,2605.37,Trajet 67 | État: Chargé. Identifié par IA.
-20.95945,-68.708466667,Cluster 1 (BLEU),68,0.7,2604.59,Trajet 68 | État: Vide. Identifié par IA.
-20.977841667,-68.724928333,Cluster 1 (BLEU),68,0.0,2580.61,Trajet 68 | État: Vide. Identifié par IA.
-20.973906667,-68.700568333,Cluster 1 (BLEU),68,0.2,2608.82,Trajet 68 | État: Vide. Identifié par IA.
-20.973561667,-68.700616667,Cluster 1 (BLEU),69,14.6,2612.15,Trajet 69 | État: Chargé. Identifié par IA.
-20.96821,-68.69748,Cluster 1 (BLEU),69,29.8,2619.1,Trajet 69 | État: Chargé. Identifié par IA.
-20.959375,-68.708536667,Cluster 1 (BLEU),69,6.3,2585.32,Trajet 69 | État: Chargé. Identifié par IA.
-20.959398333,-68.70862,Cluster 1 (BLEU),70,7.2,2585.49,Trajet 70 | État: Vide. Identifié par IA.
-20.975893333,-68.694908333,Cluster 1 (BLEU),70,33.7,2583.89,Trajet 70 | État: Vide. Identifié par IA.
-20.970583333,-68.702236667,Cluster 1 (BLEU),70,36.7,2588.44,Trajet 70 | État: Vide. Identifié par IA.
-20.968636667,-68.703405,Cluster 3 (ORANGE),71,13.5,2621.58,Trajet 71 | État: Chargé. Identifié par IA.
-20.962745,-68.707158333,Cluster 3 (ORANGE),71,29.6,2624.14,Trajet 71 | État: Chargé. Identifié par IA.
-20.959793333,-68.708376667,Cluster 3 (ORANGE),71,0.0,2604.92,Trajet 71 | État: Chargé. Identifié par IA.
-20.959793333,-68.708376667,Cluster 1 (BLEU),72,0.0,2603.43,Trajet 72 | État: Vide. Identifié par IA.
-20.959043333,-68.714698333,Cluster 1 (BLEU),72,0.0,2589.81,Trajet 72 | État: Vide. Identifié par IA.
-20.973151667,-68.700538333,Cluster 1 (BLEU),72,28.2,2584.08,Trajet 72 | État: Vide. Identifié par IA.
-20.970616667,-68.702495,Cluster 3 (ORANGE),73,25.0,2618.65,Trajet 73 | État: Chargé. Identifié par IA.
-20.968836667,-68.696856667,Cluster 3 (ORANGE),73,12.2,2623.98,Trajet 73 | État: Chargé. Identifié par IA.
-20.959811667,-68.70835,Cluster 3 (ORANGE),73,0.0,2606.67,Trajet 73 | État: Chargé. Identifié par IA.
-20.959811667,-68.70835,Cluster 0 (ROUGE),74,0.0,2603.95,Trajet 74 | État: Vide. Identifié par IA.
-20.971336667,-68.69537,Cluster 0 (ROUGE),74,31.5,2587.8,Trajet 74 | État: Vide. Identifié par IA.
-20.97535,-68.703845,Cluster 0 (ROUGE),74,29.8,2588.88,Trajet 74 | État: Vide. Identifié par IA.
-20.962736667,-68.706601667,Cluster 1 (BLEU),75,25.6,2619.81,Trajet 75 | État: Chargé. Identifié par IA.
